0,SansAnimation,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,It's a beautiful day outside¡­,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,1,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,BoneStab,1,70,0.16666,0.5,1,,,
0,BoneStab,3,70,0.16666,0.5,1,,,
0,BoneStab,2,70,0.1,0.5,1,,,
0,BoneStab,0,70,0.1,0.5,1,,,
0.4,HeartMode,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,Sound,Ding,,,,,,,
0.4,Sound,GasterBlaster,1.4,,,,,,
0.4,SineBones,30,-24,500,25,,,,
0,SineBones,30,24,500,25,,,,
1.1,SansAnimation,,,,,,,,
0,GasterBlaster,1,0,0,189,246,20,0.333,0.5
0,GasterBlaster,1,0,0,259,166,60,0.333,0.5
0,GasterBlaster,1,640,480,449,366,120,0.333,0.5
0,GasterBlaster,1,640,480,379,446,10,0.333,0.5
0.9,GasterBlaster,1,0,0,189,176,55,0.333,0.5
0,GasterBlaster,1,640,0,449,176,25,0.333,0.5
0,GasterBlaster,1,640,480,449,436,345,0.333,0.5
0,GasterBlaster,1,0,480,189,436,134,0.333,0.5
0.9,GasterBlaster,1,0,0,189,246,76,0.333,0.5
0,GasterBlaster,1,0,0,259,166,24,0.333,0.5
0,GasterBlaster,1,640,480,449,366,234,0.333,0.5
0,GasterBlaster,1,640,480,379,446,156,0.333,0.5
0.7,GasterBlaster,2,0,240,139,306,0,0.666,0.5
0,GasterBlaster,2,640,240,499,306,180,0.666,0.5
0.7,GasterBlaster,2,0,240,139,306,90,0.111,0.5
0,GasterBlaster,2,640,240,499,306,150,0.111,0.5
0.7,GasterBlaster,2,0,240,139,306,45,0.111,0.5
0,GasterBlaster,2,640,240,499,306,120,0.111,0.5
0,GasterBlaster,1,0,0,189,246,20,0.333,0.5
0,GasterBlaster,1,0,0,259,166,60,0.333,0.5
0,GasterBlaster,1,0,0,189,246,20,0.333,0.5
0,GasterBlaster,1,0,0,259,166,60,0.333,0.5
0.4,SansText,again...,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,SansText,I promise.......,,,,,,,
0,SansText,You will be killen here!,,,,,,,
0,Endattack,,,,,,,,
